year,value
2021,3136
2022,3196
2023,3247
2024,3321
2025,3416
2026,3624
2027,3730
2028,3851
2029,3982
2030,4134
2031,4735
2032,4967
2033,5094
2034,5210
2035,5311
2036,5411
2037,5529
2038,5631
2039,5735
2040,5842
2041,5848
2042,5852
2043,5856
2044,5861
2045,5865
2046,5869
2047,5874
2048,5878
2049,5882
2050,5887
